capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-07-12 09:23:12,-1.0,21.05,8.9,27.09
2018-07-12 09:38:12,-1.0,26.61,8.9,28.64
2018-07-12 09:53:12,-1.0,22.43,9.4,28.64
2018-07-12 10:08:12,-1.0,28.3,9.15,29.04
2018-07-12 10:23:12,-1.0,28.56,9.15,30.36
2018-07-12 10:38:12,-1.0,29.09,9.15,29.75
2018-07-12 10:53:12,-1.0,22.32,9.02,29.35
2018-07-12 11:08:12,-1.0,19.53,9.15,29.61
2018-07-12 11:23:12,-1.0,19.28,9.27,28.95
2018-07-12 11:38:12,-1.0,17.75,9.02,29.04
2018-07-12 11:53:12,-1.0,15.77,9.4,29.0
2018-07-12 12:08:12,-1.0,14.7,9.27,29.35
2018-07-12 12:23:12,-1.0,15.04,9.4,29.17
2018-07-12 12:38:12,-1.0,15.17,9.27,29.0
2018-07-12 12:53:12,-1.0,14.44,9.02,29.92
2018-07-12 13:08:12,-1.0,14.99,9.27,30.01
2018-07-12 13:23:12,-1.0,16.8,9.02,30.06
2018-07-12 13:38:12,-1.0,17.75,9.4,29.97
2018-07-12 13:53:12,-1.0,19.12,8.9,30.5
2018-07-12 14:08:12,-1.0,21.29,9.02,30.5
2018-07-12 14:23:12,-1.0,17.24,9.15,30.59
2018-07-12 14:38:12,-1.0,18.17,9.02,30.36
2018-07-12 14:53:12,-1.0,51.94,9.27,32.89
2018-07-12 15:08:12,-1.0,86.81,8.9,35.63
2018-07-12 15:23:12,-1.0,108.34,9.15,36.55
2018-07-12 15:38:12,-1.0,103.88,9.15,37.01
2018-07-12 15:53:12,-1.0,99.77,9.53,36.27
2018-07-12 16:08:12,-1.0,94.16,9.27,36.13
2018-07-12 16:23:12,-1.0,88.34,9.53,35.18
2018-07-12 16:38:12,-1.0,79.85,9.65,33.69
2018-07-12 16:53:12,-1.0,73.35,9.53,33.16
